date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:01	91068/91068	---M-Z	200	added ('OK')	text/html	etag:%22163bc-5b26b73daffe2-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-modal.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ui-modal.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:02	80909/80909	---M-Z	200	added ('OK')	text/html	etag:%2213c0d-5b26b7394b512-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-button-group.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ui-button-group.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:02	89106/89106	---M-Z	200	added ('OK')	text/html	etag:%2215c12-5b26b73c6596b-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-list-group.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ui-list-group.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:02	84221/84221	---M-Z	200	added ('OK')	text/html	etag:%22148fd-5b26b73d01d6b-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-media-object.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ui-media-object.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:02	84728/84728	---M-Z	200	added ('OK')	text/html	etag:%2214af8-5b26b739e8618-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-card.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ui-card.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:03	83144/83144	---M-Z	200	added ('OK')	text/html	etag:%22144c8-5b26b73a7e1ee-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-carousel.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ui-carousel.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:03	107848/107848	---M-Z	200	added ('OK')	text/html	etag:%221a548-5b26b73b25c39-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-dropdown.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ui-dropdown.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:03	74340/74340	---M-Z	200	added ('OK')	text/html	etag:%2212264-5b26b73ef3128-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-popover.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ui-popover.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:03	92849/92849	---M-Z	200	added ('OK')	text/html	etag:%2216ab1-5b26b73fa0699-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-progressbar.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ui-progressbar.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:04	101459/101459	---M-Z	200	added ('OK')	text/html	etag:%2218c53-5b26b7405372f-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-tab.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ui-tab.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:04	85563/85563	---M-Z	200	added ('OK')	text/html	etag:%2214e3b-5b26b740eba15-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-typography.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ui-typography.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:04	90454/90454	---M-Z	200	added ('OK')	text/html	etag:%2216156-5b26b73e5bb48-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-pagination.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ui-pagination.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:05	79742/79742	---M-Z	200	added ('OK')	text/html	etag:%221377e-5b26b73bbec25-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-grid.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ui-grid.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:05	109952/109952	---M-Z	200	added ('OK')	text/html	etag:%221ad80-5b26b734b6a07-gzip%22	https://motaadmin.dexignlab.com/xhtml/uc-select2.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/uc-select2.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:05	78802/78802	---M-Z	200	added ('OK')	text/html	etag:%22133d2-5b26b7335f33b-gzip%22	https://motaadmin.dexignlab.com/xhtml/uc-nestable.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/uc-nestable.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:05	101787/101787	---M-Z	200	added ('OK')	text/html	etag:%2218d9b-5b26b7340aea1-gzip%22	https://motaadmin.dexignlab.com/xhtml/uc-noui-slider.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/uc-noui-slider.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:06	79115/79115	---M-Z	200	added ('OK')	text/html	etag:%221350b-5b26b73552102-gzip%22	https://motaadmin.dexignlab.com/xhtml/uc-sweetalert.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/uc-sweetalert.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:06	73195/73195	---M-Z	200	added ('OK')	text/html	etag:%2211deb-5b26b735f1919-gzip%22	https://motaadmin.dexignlab.com/xhtml/uc-toastr.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/uc-toastr.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
